id,location,fx_version,os,version,survey_answers,number_extensions
0,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
1,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
2,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
3,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
4,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",3
5,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
6,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
7,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
8,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
9,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
10,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
11,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",6
12,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
13,"",4.0b7,"WINNT Windows NT 6.1; WOW64",1.0.3,"",11
14,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",1
15,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
16,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
17,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
18,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
19,"",4.0b6,"Darwin Intel Mac OS X 10.5",1.0.3,"",7
20,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
21,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
22,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
23,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",3
24,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
25,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
26,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",6
27,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
28,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
29,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
30,"",3.6.12,"WINNT Windows NT 6.0",1.0.2,"",7
31,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
32,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",13
33,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",1
34,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",15
35,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
36,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
37,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",12
38,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
39,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
40,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
41,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
42,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",11
43,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",9
44,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
45,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
46,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
47,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
48,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",9
49,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",1
50,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
51,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
52,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",8
53,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
54,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
55,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
56,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",6
57,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
58,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
59,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
60,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
61,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",4
62,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
63,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",1
64,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",8
65,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
